,Year,lon,Lat
1448,1995-01-01,-4.45,57.32
1449,1935-01-01,-5.558428,57.175284
1450,2007-01-01,-2.45,57.12
1452,1991-01-01,-3.927145,57.781474
1453,2014-01-01,-2.72,57.17
1454,2018-01-01,-3.55,56.75
1456,2014-01-01,-3.69,57.15
1458,1995-01-01,-4.45,57.32
1459,1935-01-01,-5.558428,57.175284
1460,2007-01-01,-2.45,57.12
1462,1991-01-01,-3.927145,57.781474
1463,2014-01-01,-2.72,57.17
1464,2018-01-01,-3.55,56.75
1466,2014-01-01,-3.69,57.15
1468,1995-01-01,-4.45,57.32
1469,1935-01-01,-5.558428,57.175284
1470,2007-01-01,-2.45,57.12
1472,1991-01-01,-3.927145,57.781474
1473,2014-01-01,-2.72,57.17
1474,2018-01-01,-3.55,56.75
1476,2014-01-01,-3.69,57.15
1478,1995-01-01,-4.45,57.32
1479,1935-01-01,-5.558428,57.175284
1481,2012-01-01,-2.68,57.61
1484,2013-01-01,-3.18,56.88
1485,2015-01-01,-3.79,57.25
1486,2012-01-01,-2.52,57.03
1489,2013-01-01,-3.32,56.99
1490,2007-01-01,-2.45,57.12
1492,1991-01-01,-3.927145,57.781474
1493,2014-01-01,-2.72,57.17
1494,2018-01-01,-3.55,56.75
1496,2014-01-01,-3.69,57.15
1498,1995-01-01,-4.45,57.32
1499,1935-01-01,-5.558428,57.175284
1500,2007-01-01,-2.45,57.12
1502,1991-01-01,-3.927145,57.781474
1503,2014-01-01,-2.72,57.17
1504,2018-01-01,-3.55,56.75
1506,2014-01-01,-3.69,57.15
1508,1995-01-01,-4.45,57.32
1509,1935-01-01,-5.558428,57.175284
1510,2007-01-01,-2.45,57.12
1512,1991-01-01,-3.927145,57.781474
1513,2014-01-01,-2.72,57.17
1514,2018-01-01,-3.55,56.75
1516,2014-01-01,-3.69,57.15
1518,1995-01-01,-4.45,57.32
1519,1935-01-01,-5.558428,57.175284
1520,2007-01-01,-2.45,57.12
1522,1991-01-01,-3.927145,57.781474
1523,2014-01-01,-2.72,57.17
1524,2018-01-01,-3.55,56.75
1526,2014-01-01,-3.69,57.15
1528,1995-01-01,-4.45,57.32
1529,1935-01-01,-5.558428,57.175284
1530,2007-01-01,-2.45,57.12
1532,1991-01-01,-3.927145,57.781474
1533,2014-01-01,-2.72,57.17
1534,2018-01-01,-3.55,56.75
1536,2014-01-01,-3.69,57.15
1538,1995-01-01,-4.45,57.32
1539,1935-01-01,-5.558428,57.175284
1542,2016-01-01,-4.57,55.04
1543,1994-01-01,-4.26,57.55
1544,1997-01-01,-5.28,58.16
1545,1925-01-01,-5.426637,57.538532
1548,2016-01-01,-2.42,57.03
1549,2006-01-01,-4.18,57.64
1550,2007-01-01,-2.45,57.12
1552,1991-01-01,-3.927145,57.781474
1553,2014-01-01,-2.72,57.17
1554,2018-01-01,-3.55,56.75
1556,2014-01-01,-3.69,57.15
1558,1995-01-01,-4.45,57.32
1559,1935-01-01,-5.558428,57.175284
1560,2007-01-01,-2.45,57.12
1562,1991-01-01,-3.927145,57.781474
1563,2014-01-01,-2.72,57.17
1564,2018-01-01,-3.55,56.75
1566,2014-01-01,-3.69,57.15
1568,1995-01-01,-4.45,57.32
1569,1935-01-01,-5.558428,57.175284
1570,2007-01-01,-2.45,57.12
1572,1991-01-01,-3.927145,57.781474
1573,2014-01-01,-2.72,57.17
1574,2018-01-01,-3.55,56.75
1576,2014-01-01,-3.69,57.15
1578,1995-01-01,-4.45,57.32
1579,1935-01-01,-5.558428,57.175284
1582,1997-01-01,-3.94,56.72
1583,2016-01-01,-5.12,56.22
1584,2013-01-01,-2.71,57.18
1586,2021-01-01,-3.652795,55.23799
1587,1980-01-01,-5.342739,57.626178
1588,2018-01-01,-4.323431,55.946095
1589,2002-01-01,-5.22,58.24
1591,2014-01-01,-3.85,57.2
1592,2021-01-01,-4.33425,56.125639
1593,2004-01-01,-5.74,57.26
1594,2014-01-01,-2.43,57.11
1597,2018-01-01,-5.46,56.3
1602,1997-01-01,-3.94,56.72
1603,2016-01-01,-5.12,56.22
1604,2013-01-01,-2.71,57.18
1606,2021-01-01,-3.652795,55.23799
1607,1980-01-01,-5.342739,57.626178
1608,2018-01-01,-4.323431,55.946095
1609,2002-01-01,-5.22,58.24
1610,2007-01-01,-2.45,57.12
1612,1991-01-01,-3.927145,57.781474
1613,2014-01-01,-2.72,57.17
1614,2018-01-01,-3.55,56.75
1616,2014-01-01,-3.69,57.15
1618,1995-01-01,-4.45,57.32
1619,1935-01-01,-5.558428,57.175284
1622,1997-01-01,-3.94,56.72
1623,2016-01-01,-5.12,56.22
1624,2013-01-01,-2.71,57.18
1626,2021-01-01,-3.652795,55.23799
1627,1980-01-01,-5.342739,57.626178
1628,2018-01-01,-4.323431,55.946095
1629,2002-01-01,-5.22,58.24
1630,2007-01-01,-2.45,57.12
1632,1991-01-01,-3.927145,57.781474
1633,2014-01-01,-2.72,57.17
